identificador,nombre,href,agencia,timestamp,ubicacion,CCAA,codigo_postal,planta,orientacion,precio,precio_m2,antiguedad,actualizacion,superficie_util,superficie_construida,superficie,habitaciones,baños,cocina_equipada,amueblado,terraza,armarios_empotrados,calefaccion,aire_acondicionado,ascensor,consumo,emisiones
879724433_279300,Piso en Nueva Andalucía,https://www.pisos.com/alquilar/piso-almeria_capital_nueva_andalucia-879724433_279300/,INMOBILIARIA NUEVA ANDALUCIA,2024-12-26,almeria_capital,Andalucía,,2.0,SIN ESPECIFICAR,800.0,10.0,Entre 30 y 50 años,2024-12-26,80.0,80.0,80.0,2.0,2.0,Si,Si,Si,,,Si,,"E, E","E, E"
484001943_279300,Piso en Ciudad Jardín-Tagarete-Zapillo,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo04007-484001943_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-02-12,almeria_capital,Andalucía,4007.0,4.0,SIN ESPECIFICAR,800.0,8.0,Entre 5 y 10 años,2025-02-12,100.0,100.0,100.0,3.0,2.0,Si,Si,,Si,Si,Si,Si,"E, E","E, E"
258040280_279300,Piso en Ciudad Jardín-Tagarete-Zapillo,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo04007-258040280_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-02-04,almeria_capital,Andalucía,4007.0,5.0,SUR,700.0,9.0,,2025-02-04,77.0,77.0,77.0,3.0,1.0,Si,,,,,,Si,"E, E","E, E"
50090984177_279300,Piso en Centro,https://www.pisos.com/alquilar/piso-almeria_capital_centro04003-50090984177_279300/,INMOBILIARIA NUEVA ANDALUCIA,2024-12-11,almeria_capital,Andalucía,4003.0,2.0,SIN ESPECIFICAR,800.0,7.0,,2024-12-11,98.0,107.0,107.0,3.0,1.0,Si,Si,Si,,,Si,Si,"E, E","E, E"
569172964_279300,Piso en Ciudad Jardín-Tagarete-Zapillo,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo-569172964_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-01-27,almeria_capital,Andalucía,,1.0,SIN ESPECIFICAR,750.0,8.0,,2025-01-27,85.0,85.0,85.0,3.0,1.0,Si,Si,Si,Si,,,Si,"E, E","E, E"
51766222102_100500,Piso en Oliveros,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo04007-51766222102_100500/,KELLER WILLIAMS ALMERIA.,2025-02-18,almeria_capital,Andalucía,4007.0,4.0,SIN ESPECIFICAR,825.0,8.0,Entre 10 y 20 años,2025-02-18,81.0,101.0,101.0,3.0,2.0,,Si,,Si,,Si,Si,"E, E","E, E"
541362335_501470,Piso en Ciudad Jardín-Tagarete-Zapillo,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo-541362335_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-11,almeria_capital,Andalucía,,7.0,ESTE,850.0,6.0,Entre 30 y 50 años,2025-02-11,110.0,125.0,125.0,4.0,2.0,Si,Si,,Si,,,Si,Error al procesar consumo,Error al procesar emisiones
50852726770_108900,Piso en Oliveros-Altamira-Barrio Alto,https://www.pisos.com/alquilar/piso-oliveros_altamira_barrio_alto04004-50852726770_108900/,M.M.C. INMOBILIARIA,2025-02-14,almeria_capital,Andalucía,4004.0,,SIN ESPECIFICAR,950.0,9.0,,2025-02-14,,100.0,100.0,4.0,2.0,Si,Si,Si,,,Si,Si,Error al procesar consumo,Error al procesar emisiones
31681165929_501470,Piso en Oliveros-Altamira-Barrio Alto,https://www.pisos.com/alquilar/piso-oliveros_altamira_barrio_alto-31681165929_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-15,almeria_capital,Andalucía,,5.0,SIN ESPECIFICAR,850.0,6.0,Entre 30 y 50 años,2025-02-15,130.0,130.0,130.0,3.0,2.0,Si,Si,,,,,Si,Error al procesar consumo,Error al procesar emisiones
904117677_279300,Piso en Ciudad Jardín-Tagarete-Zapillo,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo-904117677_279300/,INMOBILIARIA NUEVA ANDALUCIA,2024-09-23,almeria_capital,Andalucía,,1.0,SIN ESPECIFICAR,900.0,10.0,,2024-09-23,89.0,89.0,89.0,3.0,1.0,Si,Si,,,Si,Si,Si,"E, E","E, E"
47531171558_108900,Piso en Ciudad Jardín-Tagarete-Zapillo,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo04007-47531171558_108900/,M.M.C. INMOBILIARIA,2025-02-14,almeria_capital,Andalucía,4007.0,,SIN ESPECIFICAR,850.0,12.0,,2025-02-14,,70.0,70.0,3.0,1.0,Si,Si,,,,,,Error al procesar consumo,Error al procesar emisiones
91585364833_279300,Piso en Ciudad Jardín-Tagarete-Zapillo,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo-91585364833_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-02-19,almeria_capital,Andalucía,,7.0,SIN ESPECIFICAR,850.0,6.0,,2025-02-19,127.0,128.0,128.0,4.0,2.0,Si,Si,Si,,,,Si,"E, E","E, E"
446477008_279300,Piso en Los Ángeles-Cruz de Caravaca-Piedras Redondas,https://www.pisos.com/alquilar/piso-los_angeles_cruz_de_caravaca_piedras_redondas-446477008_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-02-05,almeria_capital,Andalucía,,2.0,SIN ESPECIFICAR,600.0,12.0,,2025-02-05,50.0,50.0,50.0,1.0,1.0,Si,Si,Si,,,,Si,"E, E","E, E"
