nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Tipo suelo,Calefacción,Cocina equipada,Comedor,Lavadero,Orientación,No se aceptan mascotas,Armarios empotrados,Vidrios dobles,Carpintería exterior,Teléfono,Aire acondicionado,Chimenea,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Jardín,Piscina,Soleado,Agua,Balcón,Amueblado,Carpintería interior,Se aceptan mascotas,Interior,Gastos de comunidad,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar
Piso en calle de Gonzalo de Córdoba,ESRIV INMOBILIARIA REAL ESTATE,28 €/m²,2.800 €/mes,99 m²,28079,https://www.pisos.com/alquilar/piso-trafalgar28010-50077676626_100500/,2025-01-08,Error al procesar consumo,Error al procesar emisiones,99 m²,97 m²,2,2,1ª,,Más de 50 años,,SA4408-0561502VK4706B0004PR/9927,,Gasoil,,,,Noroeste,,,,,,N/A,,,N/A,,,,N/A,,,,,,,N/A,,,,,,,,,,,,
Dúplex en Casco Antiguo,ELEPHANT REAL ESTATE,9 €/m²,1.400 €/mes,150 m²,28061,https://www.pisos.com/alquilar/duplex-galapagar_la_navata28260-40850668971_100500/,2025-02-20,"B, A","B, A",150 m²,120 m²,3,3,Bajo,,Menos de 5 años,,SA2135-05393/7619,,N/A,,N/A,,Este,,1,,,N/A,N/A,,1,N/A,,N/A,,N/A,,N/A,,Comunitaria,,N/A,N/A,,,,,,,,,,,,
Piso en Palos de Moguer,"CONSULTING SANTA MARIA DE LA CABEZA, S.L",15 €/m²,1.650 €/mes,104 m²,28079,https://www.pisos.com/alquilar/piso-palos_de_moguer28045-50849260082_100200/,2025-02-13,"E, D","E, D",104 m²,,2,2,3ª,,Entre 30 y 50 años,En buen estado,TC1172-603548,,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de Cuba, 4",REMAX Alpha,17 €/m²,1.100 €/mes,64 m²,28049,https://www.pisos.com/alquilar/piso-la_espinilla_parque_blanco-30877531555_994129/,2025-01-30,Error al procesar consumo,Error al procesar emisiones,64 m²,64 m²,2,1,Bajo,N/A,Entre 30 y 50 años,En buen estado,4994129-000080,,Eléctrica,Equipada,Amueblado,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Piso en calle del Príncipe de Vergara,UKIO,32 €/m²,1.965 €/mes,60 m²,28079,https://www.pisos.com/alquilar/piso-lista_barrio28006-42533163729_100500/,2025-02-17,"G, G","G, G",60 m²,,2,2,6ª,N/A,,En buen estado,SA5186-ZEILA,,,N/A,,,,,1,,,,N/A,,,,,,,N/A,,,,,,,,N/A,,N/A,,,,,,,,,
"Piso en calle de Letonia, 14",Sogeviso,13 €/m²,950 €/mes,72 m²,28903,https://www.pisos.com/alquilar/piso-nuevo_tres_cantos-4912333334_109700/,2024-12-18,"A, A","A, A",72 m²,,2,1,1ª,,,A estrenar,4528991-21490384,,,,,,,,,,,,Frío y calor,,N/A,N/A,,,,N/A,,N/A,,,,,,,,,,,,,,,,,
Piso en Bernabeu Hispanoamerica,Alfa Madrid Norte,22 €/m²,1.600 €/mes,72 m²,28079,https://www.pisos.com/alquilar/piso-chamartin_hispanoamerica28016-51686291978_101000/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,72 m²,,1,1,,N/A,,,AF105-1338/185,,,,,,,,,,,,Frío,,,N/A,,N/A,con cámaras de seguridad,2,,,,N/A,,,,,,,,,,,,,,,
Piso en Chamberi,ASTONDO REAL ESTATE,22 €/m²,8.300 €/mes,366 m²,28079,https://www.pisos.com/alquilar/piso-chamberi_almagro28010-38371115183_109300/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,366 m²,294 m²,5,5,,N/A,,Reformado,EP740-1910,,Gas natural,N/A,,,Sur,,,,,,,,1,N/A,,,,N/A,,N/A,,,,,,N/A,,,,,,,,,,,
Piso en calle de Arganda,BERNAL INMOBILIARIA,17 €/m²,1.600 €/mes,90 m²,28079,https://www.pisos.com/alquilar/piso-acacias28005-50893479931_100500/,2025-01-21,"E, D","E, D",90 m²,75 m²,2,2,7ª,N/A,Entre 30 y 50 años,En buen estado,SA3100-IS663,,,N/A,,,Norte,N/A,1,,,,N/A,,1,,,,,N/A,N/A,,N/A,N/A,,,,,,,,,,,,,,,
Piso en Embajadores-Lavapiés,RE/MAX ANTARES,20 €/m²,4.100 €/mes,199 m²,28079,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28012-30923811471_100500/,2025-01-17,Error al procesar consumo,Error al procesar emisiones,199 m²,,3,3,1ª,N/A,Más de 50 años,En buen estado,SA3318-3452-01158,,,N/A,,,Este,N/A,,,,,N/A,,,N/A,,,,,,,,,,,N/A,N/A,,,,,,,,,,,
