nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Planta,Antigüedad,Referencia,Ascensor,Calefacción,Superficie útil,Exterior,Conservación,Gastos de comunidad,Tipo suelo,Carpintería exterior,Aire acondicionado,Cocina equipada,Comedor,Portero automático,Orientación,Soleado,Trastero,Balcón,Terraza,Se aceptan mascotas,Armarios empotrados,Carpintería interior,Vidrios dobles,Teléfono,Garaje,Puerta blindada,Sistema de seguridad,Adaptado a personas con movilidad reducida,Jardín,Lavadero,Piscina,Interior,Amueblado,Chimenea,Agua,Superficie solar,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Apartamento en El Parc-La Llacuna del Poblenou,Engel & Völkers MMC Barcelona,6.406 €/m²,820.000 €,128 m²,https://www.pisos.com/comprar/apartamento-el_parc_la_llacuna_del_poblenou08018-42545134738_101800/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),128 m²,4,2,4ª,Entre 20 y 30 años,IF76306-I-00Y258-W-02UJI9,N/A,Central,,,,,,,,N/A,,,Noreste,,,,N/A,,1,,,,1,,,,,,Propia,,,,,,,,,,,
Apartamento en La Dreta de l'Eixample,Engel & Völkers MMC Barcelona,6.280 €/m²,1.300.000 €,207 m²,https://www.pisos.com/comprar/apartamento-la_dreta_de_eixample08007-44194060761_101800/,Anuncio actualizado el 27/05/2024,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),207 m²,6,3,3ª,,IF76306-I-00YABS-W-02OPRN,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Sant Pere-Santa Caterina-La Ribera,Engel & Völkers MMC Barcelona,8.880 €/m²,595.000 €,67 m²,https://www.pisos.com/comprar/apartamento-sant_pere_santa_caterina_la_ribera08003-45853021581_101800/,Anuncio actualizado el 15/07/2024,"E, E","E, E",barcelona_capital (BCN),67 m²,2,2,7ª,Entre 10 y 20 años,IF76306-I-00YFV2-W-02UTB4,N/A,Central,,,,,,,,N/A,,,,,N/A,,,,,,,,1,,,,,N/A,,,,,,,,,,,,
Apartamento en La Vila de Gràcia,Engel & Völkers MMC Barcelona,6.333 €/m²,950.000 €,150 m²,https://www.pisos.com/comprar/apartamento-la_vila_de_gracia08006-45851764010_101800/,Anuncio actualizado el 01/08/2024,"E, E","E, E",barcelona_capital (BCN),150 m²,3,2,2ª,Más de 50 años,IF76306-I-00YETN-W-02K21A,,Central,,,,,,,,N/A,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Piso en Les Corts,GUIMAR CONSULTING,10.216 €/m²,613.000 €,60 m²,https://www.pisos.com/comprar/piso-la_maternitat_sant_ramon08028-43380250739_100500/,Anuncio actualizado el 15/02/2025,"E, F","E, F",barcelona_capital (BCN),60 m²,1,1,Bajo,,SA4468-1103619/10008,N/A,,49 m²,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Apartamento en La Dreta de l'Eixample,Engel & Völkers MMC Barcelona,10.738 €/m²,1.600.000 €,149 m²,https://www.pisos.com/comprar/apartamento-la_dreta_de_eixample08008-47568384459_101800/,Anuncio actualizado el 30/09/2024,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),149 m²,4,2,3ª,Más de 50 años,IF76306-I-00YNU9-W-02X56F,N/A,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,N/A,,,N/A,,,,,,,,,
Piso en Rambla de Brasil,"Punt Sagrada Família, S.L.",5.168 €/m²,460.000 €,89 m²,https://www.pisos.com/comprar/piso-sants_badal-51675285141_103700/,Anuncio actualizado el 17/02/2025,"G, G","G, G",barcelona_capital (BCN),89 m²,4,2,,Más de 50 años,BLU5-LCB34935,N/A,N/A,,,En buen estado,,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Carrer del Berlinès,SAM GRUPO M,7.941 €/m²,675.000 €,85 m²,https://www.pisos.com/comprar/piso-sant_gervasi_la_bonanova08022-39247393441_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),85 m²,2,2,Bajo,,SA4980-BER-02/10877,,,,,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda d'Elies Pagès,Aliseda Inmobiliaria,2.395 €/m²,172.500 €,72 m²,https://www.pisos.com/comprar/piso-sant_genis_dels_agudells08035-48365946647_105900/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),72 m²,3,1,,,AN1-ANT00030662904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Vila de Gràcia,SUPERVIA BCN,5.063 €/m²,319.000 €,63 m²,https://www.pisos.com/comprar/piso-la_vila_de_gracia08024-43347956897_106700/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),63 m²,3,1,,,IFC118-2367,,,60 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Vallcarca-Els Penitents,Engel & Völkers MMC Barcelona,5.590 €/m²,1.800.000 €,322 m²,https://www.pisos.com/comprar/casa-vallcarca_els_penitents08023-43412116850_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),322 m²,5,4,,Más de 50 años,IF76306-I-00Y53P-W-02UQB0,,Central,,,,,,,,N/A,,,,,N/A,,,,,,,,1,,,,Privado,,Propia,,,,,614 m²,,,,,,
