nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Carpintería interior,Tipo suelo,Carpintería exterior,Chimenea,Cocina equipada,Comedor,Lavadero,Trastero,Portero automático,Puerta blindada,Terraza,Orientación,Vidrios dobles,Aire acondicionado,Calefacción,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar,Armarios empotrados,Garaje,Jardín,Agua,Luz,Gas,Ascensor,Balcón,Soleado,Se aceptan mascotas,Interior,Gastos de comunidad,Adaptado a personas con movilidad reducida,Piscina,Teléfono,Tipo de casa,Amueblado,Sistema de seguridad,Alcantarillado
Casa en Carrer de Dalt,ESPAI VIU,1.637 €/m²,997.000 €,609 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-41695067313_515612/,Anuncio actualizado el 30/01/2025,"E, F","E, F",valles_occidental_nord (BCN),609 m²,566 m²,6,4,,,Más de 50 años,En buen estado,515612-CM- 890,Aluminio,Gres,,N/A,,,,,,,N/A,Sur,N/A,,Gasoil,N/A,N/A,N/A,,Más de 2,Más de 2,Privado,,,N/A,,,,,,,,Propia,N/A,,,,
Piso en Carrer de Ramón y Cajal,DOMUS GESTIO IMMOBILIARIA,2.574 €/m²,260.000 €,101 m²,https://www.pisos.com/comprar/piso-cementiri_vell08222-45861838198_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),101 m²,84 m²,3,2,Bajo,N/A,Menos de 5 años,En buen estado,SA4499-DV676,,,,,Cocina amueblada,,,,,,N/A,,,Frío,,,,,,,1,,,,,N/A,,,,,,,,,,,,
Piso en Passatge de Montserrat Roig,DOMUS GESTIO IMMOBILIARIA,2.697 €/m²,129.500 €,48 m²,https://www.pisos.com/comprar/piso-ca_nanglada08222-50903437381_100500/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),48 m²,41 m²,1,1,Bajo,N/A,Entre 10 y 20 años,En buen estado,SA4499-5506,,,,,Cocina amueblada,,,,,,,,,,Eléctrica,,,,,,,,,,,N/A,,,,,Entre 20 y 40 €,,,,,,,
Piso en Carrer de Santa Llúcia,Estudi Projecte Ca N´Anglada Slu,1.299 €/m²,265.000 €,204 m²,https://www.pisos.com/comprar/piso-ca_nanglada08222-50900866391_100200/,Anuncio actualizado el 27/01/2025,"F, F","F, F",valles_occidental_nord (BCN),204 m²,,4,3,,,Más de 50 años,En buen estado,TC1129-606701,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Germà Joaquim,D & HABITAT,1.211 €/m²,109.000 €,90 m²,https://www.pisos.com/comprar/piso-can_palet08223-47576953065_510396/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),90 m²,86 m²,3,1,Bajo,,Más de 50 años,A reformar,510396-019139,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en Matadepera,ESPAI VIU,2.555 €/m²,695.000 €,272 m²,https://www.pisos.com/comprar/chalet_unifamiliar-matadepera_centro_urbano-45071075860_515612/,Anuncio actualizado el 16/02/2025,"D, C","D, C",valles_occidental_nord (BCN),272 m²,250 m²,4,2,,,Entre 20 y 30 años,En buen estado,515612-XM-750,,Mármol,Aluminio,N/A,N/A,N/A,Independiente,,,N/A,,Sur,N/A,,Gasoil,N/A,N/A,N/A,653 m²,Más de 2,2,Privado,,,,,,,,,,,Propia,N/A,,,,
Chalet en Castellar del Vallès,GESTILLAR,Error al procesar precio m²,350.000 €,6,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-51680106854_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),,,6,2,,,,,AG560-10974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Pere Fizes,DOMUS GESTIO IMMOBILIARIA,3.018 €/m²,335.000 €,111 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08225-40039789099_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),111 m²,98 m²,3,2,1ª,N/A,,En buen estado,SA4499-PH-PF4-4,,,,,Cocina amueblada,,,,,,N/A,,,Frío,,,,,,,1,,,,,N/A,,,,,,,,,,,,
Chalet en Carrer del Mussol,DOMUS GESTIO IMMOBILIARIA,1.371 €/m²,473.000 €,345 m²,https://www.pisos.com/comprar/chalet-les_martines_can_palet_de_vista_alegre08224-51694254097_100500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),345 m²,340 m²,5,3,,,Entre 20 y 30 años,En buen estado,SA4499-MQF0013,,,,N/A,Cocina amueblada,,,,,,,,,Frío,Central,,,,835 m²,,1,Privado,,,,,,,,,,,Propia,,,,,
Casa en Can Solà del Plà,ESPAI VIU,1.832 €/m²,625.000 €,341 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-32521437747_515612/,Anuncio actualizado el 16/02/2025,"D, D","D, D",valles_occidental_nord (BCN),341 m²,300 m²,4,2,,,Entre 30 y 50 años,En buen estado,515612-XM-700,,Parquet,Madera,N/A,N/A,N/A,N/A,,,N/A,N/A,Sur,,,Gas natural,N/A,N/A,N/A,1 m²,Más de 2,Más de 2,Privado,,,N/A,,,,,,,,Propia,N/A,,,,
"Piso en Avinguda del Parlament, 2",AEDAS HOMES,2.722 €/m²,324.000 €,119 m²,https://www.pisos.com/comprar/piso-can_roca08225-5239451522_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),119 m²,,3,2,7ª,,,A estrenar,-a0P1v000011ytBXEAY,,,,,N/A,,,,,N/A,N/A,,,Frío,Gas natural,,,,,,,,,,,N/A,,,,,,,,,,,,
Dúplex en Carrer dels Voluntaris,TS PISOS,2.251 €/m²,439.000 €,195 m²,https://www.pisos.com/comprar/duplex-poble_nou_zona_olimpica08225-50893424678_998897/,Anuncio actualizado el 22/01/2025,"A, A","A, A",valles_occidental_nord (BCN),195 m²,162 m²,3,2,4ª,N/A,Entre 20 y 30 años,En buen estado,998897-S115,,Parquet,Aluminio,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sur,N/A,Frío y calor,Central,,,,,,1,Comunitario,,,,N/A,N/A,N/A,,,,N/A,Comunitaria,,,,,
Chalet en Carrer de Volta,DOMUS GESTIO IMMOBILIARIA,1.813 €/m²,495.000 €,273 m²,https://www.pisos.com/comprar/chalet-ca_naurell08224-50066609577_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),273 m²,233 m²,4,2,,,Más de 50 años,En buen estado,SA4499-DV716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Matadepera,ESPAI VIU,3.250 €/m²,975.000 €,300 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-21742727263_515612/,Anuncio actualizado el 10/07/2023,"D, D","D, D",valles_occidental_nord (BCN),300 m²,270 m²,5,4,,,Más de 50 años,Reformado,515612-XM-105,N/A,Tarima maciza,Aluminio,N/A,N/A,N/A,N/A,,,N/A,N/A,Sur,N/A,,Gas natural,N/A,N/A,N/A,2.400 m²,Más de 2,Más de 2,Privado,,,N/A,,,,,,,,,N/A,,,N/A,
Casa en Matadepera,COLDWELL BANKER STYLE REAL ESTATE,2.428 €/m²,595.000 €,245 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-45855066860_106700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),245 m²,200 m²,4,3,,,,,IFC76326-CBMT631,,,,,,,,,,,,,,,,,,,2.000 m²,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Pere Fizes,DOMUS GESTIO IMMOBILIARIA,2.752 €/m²,267.000 €,97 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08225-35897107381_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),97 m²,85 m²,2,2,1ª,,Menos de 5 años,En buen estado,SA4499-PH-207,,Parquet,,,Cocina americana,,,,,,N/A,,,Frío,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Carrer del Portal Nou,DOMUS GESTIO IMMOBILIARIA,2.021 €/m²,750.000 €,371 m²,https://www.pisos.com/comprar/chalet-terrassa_centre08221-48368616637_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),371 m²,350 m²,5,4,,,Más de 50 años,En buen estado,SA4499-DV707,,,,,Cocina amueblada,,N/A,,,,N/A,,,Frío,Gas natural,,,,,,1,,,,,,,,,,,,,,,,,
Piso en Carrer de Pius XI,DOMUS GESTIO IMMOBILIARIA,2.218 €/m²,295.000 €,133 m²,https://www.pisos.com/comprar/piso-vallparadis08222-42581985538_100500/,Anuncio actualizado el 20/02/2025,"F, E","F, E",valles_occidental_nord (BCN),133 m²,120 m²,3,2,2ª,N/A,Entre 30 y 50 años,En buen estado,SA4499-20653,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Chalet en Sant Pere,DOMUS GESTIO IMMOBILIARIA,3.307 €/m²,430.000 €,130 m²,https://www.pisos.com/comprar/chalet-sant_pere_zona_esportiva_sant_pere08226-32548440842_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),130 m²,104 m²,3,2,,,Menos de 5 años,En buen estado,SA4499-DV488,,,,,,,,,,,N/A,,,,Gas natural,,,,60 m²,,1,,,,,,,,,,,,,,,,,
Piso en Carrer del Pedraforca,DOMUS GESTIO IMMOBILIARIA,2.894 €/m²,275.000 €,95 m²,https://www.pisos.com/comprar/piso-les_arenes_can_montllor_la_gripia08227-45897863677_100500/,Anuncio actualizado el 02/12/2024,"A, A","A, A",valles_occidental_nord (BCN),95 m²,82 m²,3,2,2ª,,Menos de 5 años,En buen estado,SA4499-2750,,,,,,,,,,,,,,,,,,,,,,Comunitario,,,,N/A,,,,,,,,,,,,
Dúplex en Carrer Ample,DOMUS GESTIO IMMOBILIARIA,2.271 €/m²,159.000 €,70 m²,https://www.pisos.com/comprar/duplex-sant_pere_nord08226-45035023647_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),70 m²,58 m²,2,1,1ª,N/A,Entre 30 y 50 años,En buen estado,SA4499-DV655,,,,,Cocina amueblada,,,,,,,,,,,,,,,1,,,,,,N/A,,,,,,,,,,,,
Chalet en Vallés Occidental,Bouchra BENHAMMI AAZIZ,1.892 €/m²,600.000 €,317 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-51672577696_108700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),317 m²,317 m²,7,5,,,Entre 10 y 20 años,,UVC426-31747,,,,,,,,,,,N/A,,,N/A,N/A,,,,1.496 m²,,,N/A,,,,,,,,,,,,,,,,
Piso en Sant Lorenzo,INMOAGENCE,1.926 €/m²,131.000 €,68 m²,https://www.pisos.com/comprar/piso-la_gripia_sant_llorenc_sant_llorenc08227-50844146858_100500/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),68 m²,65 m²,3,1,1ª,N/A,Más de 50 años,En buen estado,SA5599-P-T,,Gres,,,,,N/A,,,,,,,,Gas natural,,,,,,,,,,,,,N/A,,,,,,,,,,
"Casa en Carrer del Xiprer, 42",COLDWELL BANKER STYLE REAL ESTATE,3.375 €/m²,1.350.000 €,400 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-41718735009_106700/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),400 m²,400 m²,4,3,,,Entre 20 y 30 años,,IFC76326-CAS77,,,,,,,,,,,N/A,,,,N/A,,,,2.650 m²,,,N/A,,,,,,,,,,,N/A,,,,,
Chalet en Ventaiol,INMOAGENCE,441 €/m²,259.000 €,586 m²,https://www.pisos.com/comprar/chalet-vacarisses_centro_urbano-49173185526_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),586 m²,178 m²,3,2,,,Entre 30 y 50 años,En buen estado,SA5599-059,,Parquet,,N/A,Cocina amueblada,,,N/A,,,,,,,Gasoil,,,,,,,Privado,,,,,,,,,,,,,,,,
Chalet en Castellar del Vallès,GESTILLAR,995 €/m²,398.000 €,400 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-45892404811_108500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),400 m²,400 m²,7,3,,,,,AG560-10943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Torre-Sana,"ONE EXPERTOS GESTION INMOBILIARIA, S.L.",2.272 €/m²,200.000 €,88 m²,https://www.pisos.com/comprar/piso-torre_sana-50930578431_139800/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_nord (BCN),88 m²,75 m²,3,2,2ª,N/A,Más de 50 años,Reformado,1398-6958,,Gres,Aluminio,Salón,Exterior,,,,N/A,N/A,2 de 30 metros,Sur,N/A,Frío y calor,Gas natural,,,,,1,,,,,,,,N/A,,Baños,40,,,,,,,
Casa en Carrer del Doctor Puigdueta,MARIMON IMMOBLES,2.551 €/m²,370.000 €,145 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-51707181248_992692/,Anuncio actualizado el 10/02/2025,"D, D","D, D",valles_occidental_nord (BCN),145 m²,130 m²,4,3,,,,En buen estado,992692-casapuigdueta  557,N/A,Gres,Aluminio,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,N/A,,Gas natural,,,,,,2,Privado,,,N/A,,,,,,,,,,,,,
Casa adosada en Carrer de Logronyo,SEDA IMMOBLES,1.666 €/m²,230.000 €,138 m²,https://www.pisos.com/comprar/casa_adosada-torre_sana-51675238365_520011/,Anuncio actualizado el 13/02/2025,"G, G","G, G",valles_occidental_nord (BCN),138 m²,113 m²,3,1,,,Más de 50 años,A reformar,4520011-API0148,,,,,N/A,N/A,,,,,N/A,Sur,,,,,,,,,,Privado,,,,,,,N/A,,,,,,Adosada,,,
Casa en Matadepera,COLDWELL BANKER STYLE REAL ESTATE,2.990 €/m²,1.298.000 €,434 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-45021149430_106700/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),434 m²,400 m²,4,3,,,,,IFC76326-CBMT22022,,,,,,,,,,,N/A,,,N/A,N/A,,,,850 m²,,,N/A,,,,,,,,,,,N/A,,,,N/A,
Dúplex en Carretera Dolesa,DOMUS GESTIO IMMOBILIARIA,2.350 €/m²,275.000 €,117 m²,https://www.pisos.com/comprar/duplex-roc_blanc-51750328853_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),117 m²,103 m²,3,2,2ª,N/A,Entre 10 y 20 años,En buen estado,SA4499-V0621AP,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,N/A,,,,,,,,,,
Casa en Sant Miquel de Gonteres,D & HABITAT,2.326 €/m²,388.500 €,167 m²,https://www.pisos.com/comprar/casa-viladecavalls_centro_urbano-51699533653_510396/,Anuncio actualizado el 10/02/2025,"E, E","E, E",valles_occidental_nord (BCN),167 m²,157 m²,4,2,,,Más de 50 años,En buen estado,510396-0110552,Roble,Parquet,Aluminio,N/A,N/A,N/A,N/A,N/A,,,N/A,,,,Gas natural,,,,,,,,,,N/A,,,,,,,,Propia,N/A,,,,
Casa en Matadepera,ESPAI VIU,2.272 €/m²,750.000 €,330 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-13425607770_515612/,Anuncio actualizado el 30/01/2025,"E, D","E, D",valles_occidental_nord (BCN),330 m²,300 m²,3,2,,,Entre 20 y 30 años,En buen estado,515612-XM-710,,Parquet,Aluminio,,,,,,,,,Sur,,,Gasoil,,,,1.016 m²,Más de 2,Más de 2,Privado,,,,,,,,,,,Propia,,,,,
Estudio en Castellar del Vallès,GESTILLAR,Error al procesar precio m²,159.000 €,1,https://www.pisos.com/comprar/estudio-castellar_del_valles_centro_urbano-50922877408_108500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),,,,1,,,,,AG560-10971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Camino Fondo,"FELIU FRANQUESA, S.L.",3.354 €/m²,265.000 €,79 m²,https://www.pisos.com/comprar/piso-terrassa_centre08221-50888205793_101300/,Anuncio actualizado el 01/02/2025,"A, A","A, A",valles_occidental_nord (BCN),79 m²,55 m²,2,2,,,Menos de 5 años,,API277-3633T1,,,,,,,,,,,,Oeste,,,N/A,,,,,,,,,,,N/A,,,,,,,N/A,,,,,
Piso en Carrer de Colom,Finques Multigest,1.604 €/m²,130.000 €,81 m²,https://www.pisos.com/comprar/piso-can_palet08223-38403539166_501600/,Anuncio actualizado el 04/12/2023,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),81 m²,81 m²,3,1,1ª,,Entre 30 y 50 años,Reformado,501600-121002,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
"Casa en Passatge de Matadepera, 20",COLDWELL BANKER STYLE REAL ESTATE,2.615 €/m²,680.000 €,260 m²,https://www.pisos.com/comprar/casa-can_roca08226-41743610151_106700/,Anuncio actualizado el 23/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),260 m²,,5,2,,,,,IFC76326-CBMT472,,,,,,,,,,,,,,,,,,,2.481 m²,,,,,,,,,,,,,,,,,,,
Chalet en Carrer del Mussol,SEDA IMMOBLES,1.371 €/m²,473.000 €,345 m²,https://www.pisos.com/comprar/chalet-les_martines_can_palet_de_vista_alegre08224-51713523542_520011/,Anuncio actualizado el 13/02/2025,"E, E","E, E",valles_occidental_nord (BCN),345 m²,247 m²,5,3,,,Entre 20 y 30 años,En buen estado,4520011-API0150,,Parquet,Aluminio,,N/A,N/A,N/A,,,,N/A,Sur,,Frío y calor,Gas natural,,,,,1,1,,,,,,,,N/A,,,,Propia,,,,,
Chalet en Vallés Occidental,ALEX REY,3.042 €/m²,645.000 €,212 m²,https://www.pisos.com/comprar/chalet-matadepera_centro_urbano-43417964498_108700/,Anuncio actualizado el 05/02/2025,"D, C","D, C",valles_occidental_nord (BCN),212 m²,212 m²,4,3,,,Entre 20 y 30 años,,UVC589-25036,,,,,,,,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,N/A,,,,,
Casa en Avinguda de Catalunya,TS PISOS,1.489 €/m²,449.900 €,302 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-32526303665_998897/,Anuncio actualizado el 30/01/2025,"E, E","E, E",valles_occidental_nord (BCN),302 m²,272 m²,5,4,,,Entre 20 y 30 años,En buen estado,998897-AT01,,Gres,Aluminio,,N/A,N/A,N/A,,,N/A,N/A,Sur,N/A,,Gas natural,N/A,N/A,N/A,1.950 m²,,2,Privado,,,N/A,,,,,,,,,,,,,
Chalet en Carrer Major de Sant Pere,DOMUS GESTIO IMMOBILIARIA,1.267 €/m²,355.000 €,280 m²,https://www.pisos.com/comprar/chalet-antic_poble_de_sant_pere08222-41739364337_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),280 m²,238 m²,6,2,,,Más de 50 años,En buen estado,SA4499-DV635,,,,,,,,,,,N/A,,,,,,,,207 m²,,,Privado,,,,,,,,,,,,,,,,
"Casa adosada en Carretera de Rubí,  s/n",HABITAT INMOBILIARIA,3.056 €/m²,434.000 €,142 m²,https://www.pisos.com/comprar/casa_adosada-segle_xx08223-4771999641_109700/,Anuncio actualizado el 19/02/2025,"A, A","A, A",valles_occidental_nord (BCN),142 m²,,3,3,,,,A estrenar,4990150-CSAL,,,,,,,,,,,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,Adosada,,,
Dúplex en Castellar del Vallès,GESTILLAR,1.833 €/m²,275.000 €,150 m²,https://www.pisos.com/comprar/duplex-castellar_del_valles_centro_urbano-41721796947_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),150 m²,,3,2,,,,,AG560-10795,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Viladecavalls,SOLESPAI Inmobiliaria,1.261 €/m²,410.000 €,325 m²,https://www.pisos.com/comprar/casa-viladecavalls_centro_urbano-33402504916_100500/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),325 m²,153 m²,4,3,,,Entre 30 y 50 años,,SA2017-01564/7445,,Gres,,N/A,,,,N/A,,N/A,N/A,Oeste,,,N/A,N/A,,,,,1,N/A,,,,,,,,,,,Propia,,,,,
Piso en Centre,"FELIU FRANQUESA, S.L.",3.333 €/m²,260.000 €,78 m²,https://www.pisos.com/comprar/piso-terrassa_centre08221-50900981662_101300/,Anuncio actualizado el 31/01/2025,"A, A","A, A",valles_occidental_nord (BCN),78 m²,60 m²,2,2,,,Menos de 5 años,,API277-3630,,,,,,,,,,,,Nord-este,,,N/A,,,,,,,,,,,N/A,,,,,,,N/A,,,,,
Dúplex en Carrer de Calaf,DOMUS GESTIO IMMOBILIARIA,2.194 €/m²,248.000 €,113 m²,https://www.pisos.com/comprar/duplex-les_arenes_can_montllor_la_gripia08227-49224252794_100500/,Anuncio actualizado el 21/01/2025,"E, E","E, E",valles_occidental_nord (BCN),113 m²,90 m²,4,2,3ª,N/A,Entre 30 y 50 años,En buen estado,SA4499-3024,,,,,,,,,,,,,,Frío,,,,,,,1,,,,,N/A,,,,,,,,,,,,
Piso en Terrassa,INMOAGENCE,2.250 €/m²,180.000 €,80 m²,https://www.pisos.com/comprar/piso-can_palet08223-48382696062_100500/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),80 m²,75 m²,3,1,2ª,N/A,Entre 30 y 50 años,En buen estado,SA5599-2959,,Parquet,,,Cocina equipada,,N/A,,,,,,,Frío,Central,,,,,,,,,,,,,N/A,,,Entre 20 y 40 €,,,,,,,
Casa en Vacarisses,D & HABITAT,1.419 €/m²,249.900 €,176 m²,https://www.pisos.com/comprar/casa-vacarisses_centro_urbano-46736154245_510396/,Anuncio actualizado el 17/01/2025,"D, D","D, D",valles_occidental_nord (BCN),176 m²,160 m²,5,1,,,Entre 30 y 50 años,En buen estado,510396-0010490,N/A,Gres,Aluminio,N/A,24,28,,N/A,,N/A,N/A,,N/A,Frío,Central,,,,,,1,Privado,,,,,,,,,,,,,,,,
Casa adosada en Can Palet,FINQUES BUSINFREU,1.802 €/m²,337.000 €,187 m²,https://www.pisos.com/comprar/casa_adosada-cementiri_vell08222-44230250754_100500/,Anuncio actualizado el 24/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),187 m²,160 m²,5,2,,,Entre 30 y 50 años,,SA1427-B01216/4969,,Gres,,,,,,,,N/A,N/A,Suroeste,,,Gas natural,,,,,1,,,,,,,,,,,,,,,Adosada,,,
Ático en Carrer de l'Infant Martí,TS PISOS,3.312 €/m²,265.000 €,80 m²,https://www.pisos.com/comprar/atico-la_maurina08224-48336841435_998897/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),80 m²,80 m²,3,1,Bajo,N/A,Entre 20 y 30 años,En buen estado,998897-S196,,Gres,Aluminio,,N/A,N/A,N/A,,,N/A,N/A,Norte,N/A,Frío y calor,Gas natural,,,,,1,,Comunitario,,,N/A,,N/A,N/A,,,,,,,,,,
Casa adosada en Carrer de Federico García Lorca,FINQUES DURAN-ARGEMI,1.794 €/m²,375.000 €,209 m²,https://www.pisos.com/comprar/casa_adosada-viladecavalls_centro_urbano-35881167360_142700/,Anuncio actualizado el 18/02/2025,"E, E","E, E",valles_occidental_nord (BCN),209 m²,150 m²,4,2,,,Entre 20 y 30 años,En buen estado,1427-9876,,Gres,Aluminio,N/A,N/A,N/A,,,,,N/A,,,Frío y calor,Gas natural,,,,,,2,Privado,,,,,,,,,,,,,Adosada,,,
Piso en Vallés Occidental,Silvia GIMÉNEZ ESPADA,2.320 €/m²,290.000 €,125 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08222-45048782200_108700/,Anuncio actualizado el 14/01/2025,"E, E","E, E",valles_occidental_nord (BCN),125 m²,125 m²,4,2,,,Entre 30 y 50 años,,UVC597-26767,,,,,,,,,,,,,,,N/A,,,,,,,,,,,N/A,N/A,,,,,,,,,,,
"Casa en calle de Louis Armstrong, nº 5",FS FINQUES,2.191 €/m²,423.000 €,193 m²,https://www.pisos.com/comprar/casa-sentmenat_centro_urbano-43400770275_100500/,Anuncio actualizado el 07/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),193 m²,,4,3,,,,,SA411-R940/4962,,,,,,,,,,,,,,,,,,,150 m²,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Navia,SEDA IMMOBLES,2.105 €/m²,279.990 €,133 m²,https://www.pisos.com/comprar/piso-les_arenes_can_montllor_la_gripia-47529380385_520011/,Anuncio actualizado el 24/09/2024,"E, E","E, E",valles_occidental_nord (BCN),133 m²,105 m²,4,2,Bajo,,Entre 10 y 20 años,En buen estado,4520011-5376,N/A,Gres,,,N/A,N/A,N/A,,N/A,N/A,N/A,Este,N/A,Comedor,,,,,,,,,,,N/A,N/A,,,,,Entre 40 y 60 €,,,,,,,
Chalet en Vallés Occidental,Enrique SALINAS PEÑA,2.700 €/m²,675.000 €,250 m²,https://www.pisos.com/comprar/chalet-matadepera_centro_urbano-51702479623_108700/,Anuncio actualizado el 19/02/2025,"D, D","D, D",valles_occidental_nord (BCN),250 m²,250 m²,4,3,,,Entre 20 y 30 años,,UVC749-31782,,,,,,,,,,,,,,,,,,,2.223 m²,,,,,,,,,,,,,,,,,,,
Piso en Castellar del Vallès,GESTILLAR,Error al procesar precio m²,330.000 €,4,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-48334093438_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),,,4,2,,,,,AG560-10953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Vallés Occidental,MARÍA FUENTES RUIZ,1.793 €/m²,590.000 €,329 m²,https://www.pisos.com/comprar/chalet-matadepera_centro_urbano-50851328098_108700/,Anuncio actualizado el 17/01/2025,"E, E","E, E",valles_occidental_nord (BCN),329 m²,329 m²,10,4,,,Entre 20 y 30 años,,UVC588-31130,,,,,,,,,,,N/A,,,,N/A,,,,2.457 m²,,,N/A,,,,,,,,,,,N/A,,,,,
