nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Exterior,Referencia,Armarios empotrados,Tipo suelo,Vidrios dobles,Aire acondicionado,Calefacción,Cocina equipada,Trastero,Puerta blindada,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Orientación,Interior,Chimenea,Jardín,Planta,Antigüedad,Lavadero,Sistema de seguridad,Conservación,Gastos de comunidad,Amueblado,Carpintería interior,Carpintería exterior,Comedor,Portero automático,Superficie solar,Garaje,Balcón,Soleado,Se aceptan mascotas,Gas,Teléfono,Agua,Piscina,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Chalet en Carrer de Dalt de la Ciutadella,CENTURY 21 Les Santes,664 €/m²,242.000 €,364 m²,https://www.pisos.com/comprar/chalet-centre_can_mariner08921-44232523131_107700/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),364 m²,364 m²,1,1,,VE87-0117-SBRE-0134191,,,,,,,,,,,,,,,,,Más de 50 años,,,,,,,,,,364 m²,,,,,,,,,,,,
Chalet en calle Ps Salzereda,CENTURY 21 Les Santes,4.600 €/m²,230.000 €,50 m²,https://www.pisos.com/comprar/chalet-riu_nord_riu_sud08922-50912895897_107700/,Anuncio actualizado el 25/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),50 m²,50 m²,3,1,,VE87-0117-TWRE-00490,,,,,,,,,,,,,,,,,Más de 50 años,,,,,,,,,,50 m²,,,,,,,,,,,,
Dúplex en Centre-Can Mariner,LA CASA AGENCY DEUSTO,3.471 €/m²,670.000 €,193 m²,https://www.pisos.com/comprar/duplex-centre_can_mariner08921-45842695427_101800/,Anuncio actualizado el 11/07/2024,"G, G","G, G",santa_coloma_de_gramenet (BCN),193 m²,,3,3,,IF77097-LCB31305,,,,,Central,,N/A,,N/A,,N/A,,,,,4ª,Entre 20 y 30 años,,,,,,,,,,,1,,,,,,,,,,,
Chalet en Carrer de Cristòfor Colón,Aliseda Inmobiliaria,2.125 €/m²,287.000 €,135 m²,https://www.pisos.com/comprar/chalet-llati_riera_alta_cementiri_vell08921-37589678786_107000/,Anuncio actualizado el 25/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),135 m²,,,,,AS1-52715632,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Passatge d'en Caralt, 14",Agencia no disponible,2.875 €/m²,207.000 €,72 m²,https://www.pisos.com/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-51720823936_109800/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),72 m²,,3,1,,21801967,1,Parquet,,Frío y calor,Gas natural,,,,N/A,,,,,,,2ª,Entre 30 y 50 años,,,En buen estado,N/A,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer de Flor i Cel,Aliseda Inmobiliaria,2.113 €/m²,112.000 €,53 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-41718089059_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),53 m²,,,,,AN1-ANT00030672652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer dels Espriu,Aliseda Inmobiliaria,1.318 €/m²,80.400 €,61 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-41732163726_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),61 m²,,,,,AN1-ANT00030672885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer dels Roviralta,Aliseda Inmobiliaria,1.313 €/m²,88.000 €,67 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-41685964417_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),67 m²,,,,,AN1-ANT00030658921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer del Rellotge,HIPOGES IBERIA,2.631 €/m²,50.000 €,19 m²,https://www.pisos.com/comprar/casa-santa_coloma_de_gramenet_fondo08923-48356807518_100700/,Anuncio actualizado el 20/11/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),19 m²,,,,,AURE-20458,,,,,,,,,,,,,,,,,Más de 50 años,,,,,,,,,,19 m²,,,,,,,,,,,,
Piso en Centre-Can Mariner,"ESTUDI SANTA COLOMA, S.L.U",3.000 €/m²,195.000 €,65 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08921-51763153205_100200/,Anuncio actualizado el 20/02/2025,"F, E","F, E",santa_coloma_de_gramenet (BCN),65 m²,,2,,,TC204-594647,,,,,,,,,,,,,,,,,Entre 30 y 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Raval-Santa Rosa-Safaretjos,"ESTUDI SANTA COLOMA, S.L.U",1.743 €/m²,129.000 €,74 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-45884091236_100200/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),74 m²,,3,1,,TC204-589840,,Gres,,,,,,,,,,,,,,,Más de 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Torrent de la Perera,Aliseda Inmobiliaria,1.625 €/m²,91.000 €,56 m²,https://www.pisos.com/comprar/piso-la_trinitat_vella08033-42548579932_105900/,Anuncio actualizado el 21/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),56 m²,,3,1,,AN1-ANT00030680660,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Montigalà-Sant Crist,Hounting,2.551 €/m²,125.000 €,49 m²,https://www.pisos.com/comprar/piso-montigala_sant_crist08917-45061451407_100500/,Anuncio actualizado el 19/08/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),49 m²,,2,1,N/A,SA5364-2110/21100007/36,,,,,,N/A,,,,,,,,,,2ª,,,,En buen estado,,,,,,,,,,,N/A,,,,,,,,
Dúplex en Baró de Viver,Engel & Völkers MMC Barcelona,2.358 €/m²,375.000 €,159 m²,https://www.pisos.com/comprar/duplex-baro_de_viver-40889196581_101800/,Anuncio actualizado el 10/07/2024,"D, D","D, D",santa_coloma_de_gramenet (BCN),159 m²,,2,2,,IF76306-I-00XWN5-W-02UHJ4,,,,,Central,N/A,,,,,,,,,,,Entre 20 y 30 años,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en VIA de Barcino,Aliseda Inmobiliaria,2.136 €/m²,94.000 €,44 m²,https://www.pisos.com/comprar/piso-la_trinitat_vella08033-41701045117_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),44 m²,,2,1,,AN1-ANT00030680729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Torrent de la Perera,HIPOGES IBERIA,1.833 €/m²,88.000 €,48 m²,https://www.pisos.com/comprar/piso-la_trinitat_vella08033-43354637498_100700/,Anuncio actualizado el 01/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),48 m²,42 m²,,,,LIRE-06138,,,,,,,,,,,,,,,,2ª,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,
Ático en Carrer de Mozart,JJFINQUES BADALONA,2.237 €/m²,179.000 €,80 m²,https://www.pisos.com/comprar/atico-montigala_sant_crist08917-50065663930_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),80 m²,,3,1,,IF76353-F31,,,,,Central,,,N/A,,,,,,,,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de la Foradada, 110",Group Ji-Ber Internacional,2.719 €/m²,155.000 €,57 m²,https://www.pisos.com/comprar/piso-la_trinitat_vella08033-44227240391_517058/,Anuncio actualizado el 27/09/2024,"F, F","F, F",santa_coloma_de_gramenet (BCN),57 m²,51 m²,2,1,N/A,4517058-000064,,,,,,N/A,,N/A,N/A,,,,,,,1ª,,,Alarma,En buen estado,Entre 20 y 40 €,,N/A,Aluminio,N/A,N/A,,,,,N/A,,,,,,,,
Piso en Carrer de la Foradada,MERCAT IMMOBILIARI CATALA,2.318 €/m²,160.000 €,69 m²,https://www.pisos.com/comprar/piso-la_trinitat_vella08033-50855403156_106000/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),69 m²,63 m²,2,1,,NI268-PORTA-4196MA,,,,,,,,,N/A,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Pedro Antonio de Alarcón,FABRA CONSULTORS,2.679 €/m²,209.000 €,78 m²,https://www.pisos.com/comprar/piso-montigala_sant_crist08917-51674082478_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),78 m²,,3,1,,SA4270-2025-00010/9908,,,,,,,,,,,,,,,,2ª,Más de 50 años,,,,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer de Sicília,ZONA FINCAS,2.964 €/m²,166.000 €,56 m²,https://www.pisos.com/comprar/piso-montigala_sant_crist08917-50047895763_514358/,Anuncio actualizado el 19/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),56 m²,55 m²,2,1,N/A,514358-ZF24/002,,Parquet,,,Gas natural,Independiente salida a galería.,,N/A,,,18m²,,,,,4ª,Más de 50 años,,,En buen estado,,,,Puertas haya,Salida a terraza.,N/A,,,,N/A,,,,,,,,,
