nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Chimenea,Cocina equipada,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Terraza,Jardín,Piscina,Orientación,Soleado,Tipo de casa,Lavadero,Superficie solar,Amueblado,Balcón,Gastos de comunidad,Agua,Teléfono,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Adaptado a personas con movilidad reducida,No se aceptan mascotas,Interior,Luz
"Chalet en calle Arizónicas, 7",ANNA INMOBILIARIA,1.625 €/m²,585.000 €,360 m²,28125,https://www.pisos.com/comprar/chalet-robledo_de_chavela_centro_urbano-51701056454_100500/,2025-02-11,"E, F","E, F",360 m²,340 m²,5,7,,,Entre 20 y 30 años,En buen estado,SA3249-107282226,1,,,,,,,,,,,,,,,,,N/A,N/A,N/A,Norte,,,,2.923 m²,,,,,,,,,,,,,
Piso en calle de Pablo Tejera,HOGARES VILLANUEVA DEL PARDILLO,2.670 €/m²,429.900 €,161 m²,28177,https://www.pisos.com/comprar/piso-villanueva_del_pardillo_centro_urbano-50075110093_101800/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,161 m²,,3,2,1ª,,Entre 20 y 30 años,,IF77018-PT27,1,,,,,,,Central,,N/A,,,N/A,,,,N/A,,,Comunitaria,,,,,,N/A,,,,,,,,,,,,
Chalet en calle del Valle del Alberche,HOGARES GUADARRAMA,2.212 €/m²,519.900 €,235 m²,28068,https://www.pisos.com/comprar/chalet-guadarrama_centro_urbano-50861237028_101800/,2025-02-13,"F, G","F, G",235 m²,,5,2,,,Entre 20 y 30 años,,IF76801-alberche,1,,,,,,,Central,,N/A,,,,,,,,,,,,,,,936 m²,N/A,,,,,,,,,,,,
Chalet en calle Arizónicas,SIGAB 21INMOBILIARIA,2.700 €/m²,135.000 €,50 m²,28125,https://www.pisos.com/comprar/chalet-robledo_de_chavela_centro_urbano-49260013673_100500/,2025-01-09,Error al procesar consumo,Error al procesar emisiones,50 m²,45 m²,2,1,,,Entre 20 y 30 años,En buen estado,SA5705-hispano suiza,,,,,,,,,,,,,,,,,,,,,,,,,1.280 m²,,,Entre 40 y 60 €,,,,,,,,,,
Chalet en calle del Ciprés,INMOBILIARIA LOS BERROCALES,2.233 €/m²,335.000 €,150 m²,28087,https://www.pisos.com/comprar/chalet-los_molinos_centro_urbano-38362515473_993204/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,150 m²,140 m²,3,2,,,,En buen estado,993204-13392770,Más de 2,,,,,,,,N/A,N/A,N/A,1,,,,,,N/A,Privado,,,,,,500 m²,,,,,,N/A,,N/A,,,,,
Casa en Estación de Robledo,INVERHOGAR,1.527 €/m²,275.000 €,180 m²,28125,https://www.pisos.com/comprar/casa-estacion_de_robledo-82596055866_101600/,2025-02-01,Error al procesar consumo,Error al procesar emisiones,180 m²,,5,2,,,Entre 20 y 30 años,,IF7055-15159,1,,,,,,,,,,,,,,N/A,,,N/A,Privado,,A la montaña,,,,,,,,,,,,,,,,,
"Chalet en calle El Olivar de Mirabal, Boadilla del Monte, nº 8",PROEL CONSULTORIA,2.613 €/m²,860.000 €,329 m²,28022,https://www.pisos.com/comprar/chalet-el_olivar_de_mirabal28669-45850697235_994534/,2024-07-29,"A, A","A, A",329 m²,152 m²,5,3,,,,A estrenar,4994534- Las Fuentes de Valenoso,,,,,,,,,,,,1,,,,,,,Comunitario,Propia,,,,,,,,,,,,,,,,,,
Chalet en Majadahonda,Gilmar Majadahonda,4.486 €/m²,1.485.000 €,331 m²,28080,https://www.pisos.com/comprar/chalet-zona_carretera_del_plantio28221-44220178488_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,331 m²,,7,5,,,,,GM8-197859,,,,,,,,,,,,N/A,,,,,,,N/A,N/A,Sur,,,,926 m²,,,,,,,,,,,,,
Chalet en Boadilla del Monte,Gilmar Boadilla-Villaviciosa,3.133 €/m²,890.000 €,284 m²,28022,https://www.pisos.com/comprar/chalet-boadilla_del_monte_monteprincipe28660-51686785563_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,284 m²,,4,4,,,,,GM11-206284,,,,,,,,,,,,Más de 2,,,,,,,N/A,,,,,,385 m²,,,,,,,,,,,,,
Chalet en Parque Boadilla,Gilmar Boadilla-Villaviciosa,3.898 €/m²,2.300.000 €,590 m²,28022,https://www.pisos.com/comprar/chalet-el_olivar_de_mirabal28669-51684308228_102100/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,590 m²,,6,6,,,,,GM11-202488,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,911 m²,,,,,,,,,,,,,
Chalet en calle de Tablada,MADRID VILLAGE SOLUCIONES INMOBILIARIAS,2.826 €/m²,650.000 €,230 m²,28010,https://www.pisos.com/comprar/chalet-alpedrete_centro_urbano-44236607788_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,230 m²,,4,2,,,,En buen estado,SA193-3100,,,,,,,,,,Cocina amueblada,,1,,,,,,,Privado,Propia,Sur,,,,2.725 m²,,,,,,,,,,,,,
"Piso en calle Vista Bella, 13",HOGARES SAN LORENZO DE El ESCORIAL,3.607 €/m²,349.900 €,97 m²,28131,https://www.pisos.com/comprar/piso-las_cebadillas_zaburdon_monte_escorial-50850499221_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,97 m²,,3,2,,,Más de 50 años,,IF76917-vistabella,1,,,,,,,,,N/A,,1,N/A,,N/A,,,N/A,Privado,,,,,,,,,,,,,,,,,,,
Casa en calle de Dos Hermanas,HOGARES GUADARRAMA,1.777 €/m²,584.900 €,329 m²,28068,https://www.pisos.com/comprar/casa-guadarrama_centro_urbano-48343259119_101800/,2025-02-13,"G, G","G, G",329 m²,,3,4,,,Entre 20 y 30 años,,IF76801-dos hermanas,1,,,,,,,Central,,N/A,,,,,,,,,Privado,,,,,,1.054 m²,,,,,,,,,,,,,
Chalet en Las Lomas,Gilmar Boadilla-Villaviciosa,6.007 €/m²,3.250.000 €,541 m²,28022,https://www.pisos.com/comprar/chalet-el_olivar_de_mirabal28669-45063821143_102100/,2025-02-16,Error al procesar consumo,Error al procesar emisiones,541 m²,,6,8,,,,,GM11-171234,,,,,,,,,,,,,,,,,,,N/A,N/A,Sur,,,,2.000 m²,,,,,,,,,,,,,
Piso en calle de Ángel Alberquilla Polín,HOGARES TORRELODONES,6.692 €/m²,435.000 €,65 m²,28152,https://www.pisos.com/comprar/piso-torrelodones_casco_antiguo-43419385615_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,65 m²,,2,1,,,Más de 50 años,,IF76925-Casco Antiguo,,,,,,,,,,,,,,,,,,,Privado,,,,,,,,,,,,,,,,,,,
Casa en calle del Monte Almenara,PROEL CONSULTORIA,2.794 €/m²,950.000 €,340 m²,28022,https://www.pisos.com/comprar/casa-el_olivar_de_mirabal28660-45904268489_994534/,2024-07-29,"A, A","A, A",340 m²,178 m²,5,3,,,,A estrenar,4994534-Las Fuentes de Valenoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avenida de Europa,CENTURY 21 R & C,5.526 €/m²,1.050.000 €,190 m²,28115,https://www.pisos.com/comprar/piso-zona_avenida_de_europa28224-49236896709_107700/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,190 m²,160 m²,3,2,,,Entre 30 y 50 años,,VE76-0056-00564,N/A,,,,,,N/A,N/A,,N/A,,,,,N/A,N/A,N/A,,,,,,,,,N/A,,,,,,,,,,,,
Casa adosada en calle del Brillante,HOGARES GALAPAGAR,2.942 €/m²,414.900 €,141 m²,28061,https://www.pisos.com/comprar/casa_adosada-el_guijo_colonia_espana28260-48351516330_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,141 m²,,4,3,,,Entre 30 y 50 años,,IF76920-GUIJO8,1,,,,,,,Central,,N/A,,,,,N/A,N/A,,,Privado,Comunitaria,,,Adosada,,138 m²,,,,,,,,,,,,,
Finca rústica en calle Principal,CENTURY 21 R & C,3 €/m²,945.250 €,270.000 m²,28061,https://www.pisos.com/comprar/finca_rustica-el_guijo_colonia_espana28260-42524077019_107700/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,270.000 m²,270.000 m²,,,,,,,VE76-0056-00465,,,,,,,,,,,,,,,,,,,,,,,,,270.000 m²,,,,,,,,,,,,,
Chalet en Boadilla del Monte,BM  INVERSIONES,2.947 €/m²,2.950.000 €,1.001 m²,28022,https://www.pisos.com/comprar/chalet-boadilla_del_monte_las_lomas-50855499275_100500/,2025-01-22,"D, D","D, D",1.001 m²,1.000 m²,6,5,,,Entre 30 y 50 años,En buen estado,SA4633-BMREI-569,1,,,,,,Frío,,,Cocina amueblada,,,,,,,,N/A,Privado,Propia,,,,,3.145 m²,,,Entre 20 y 40 €,,,,,,,,,,
Casa rústica en Plaza Torero José Tomás,REMAX PEOPLE,1.219 €/m²,350.000 €,287 m²,28061,https://www.pisos.com/comprar/casa_rustica-zona_calle_casa_amarilla28260-31720211607_100500/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,287 m²,,4,1,,,Entre 30 y 50 años,A reformar,SA3855-3577-00180,,,,,,,,,,,,,,,,,,N/A,N/A,,Sur,,Rústica,,261 m²,,,,,,,,,,,,,
Piso en calle de Murillo,PRESIDENCE,5.125 €/m²,897.000 €,175 m²,28115,https://www.pisos.com/comprar/piso-prado_de_somosaguas-51682760351_996580/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,175 m²,175 m²,4,2,2ª,N/A,Entre 20 y 30 años,En buen estado,4996580-1286,Más de 2,N/A,Gres,N/A,Aluminio,N/A,Frío y calor,Gas natural,,N/A,N/A,2,N/A,N/A,N/A,24 horas,Directo,N/A,Comunitario,Comunitaria,Sureste,N/A,,,,,N/A,Más de 100 €,,,,,,,,,,
Chalet en calle de Mont Blanc,HOGARES GALAPAGAR,1.470 €/m²,599.900 €,408 m²,28061,https://www.pisos.com/comprar/chalet-galapagar_la_navata28420-48366188037_101800/,2025-02-13,"F, F","F, F",408 m²,,7,5,,,Más de 50 años,,IF76920-mont blanc,1,,,,,,,,,N/A,,,N/A,,,,,N/A,,Propia,,,,,1.127 m²,,,,,,,,,,,,,
Chalet en calle del Arroyo del Membrillo,ABA EXPERTOS INMOBILIARIOS,1.899 €/m²,640.000 €,337 m²,28044,https://www.pisos.com/comprar/chalet-colmenarejo_centro_urbano-51734026703_100500/,2025-02-06,"C, C","C, C",337 m²,295 m²,7,7,,,Más de 50 años,,SA5834-INDEPENDIENTE/10809,1,,Mármol,,,,,N/A,N/A,,N/A,,N/A,,N/A,N/A,,N/A,N/A,Propia,Sureste,,,,1.204 m²,N/A,,,N/A,N/A,,,,,,,,
Chalet adosado en calle del Monte Almenara,PROEL CONSULTORIA,2.644 €/m²,870.000 €,329 m²,28022,https://www.pisos.com/comprar/chalet_adosado-el_olivar_de_mirabal28669-45856762096_994534/,2024-07-29,"A, A","A, A",329 m²,178 m²,5,3,,,,En buen estado,4994534-Las Fuentes de Valenoso,,,,,,,,,,,,1,,,,,,,,Comunitaria,,,,,,,,,,,,,,,,,,
Chalet en calle del Maestro Granados,HOGARES VILLANUEVA DE LA CAÑADA,1.718 €/m²,495.000 €,288 m²,28176,https://www.pisos.com/comprar/chalet-villanueva_de_la_canada_nucleo_urbano-46732060895_101800/,2024-08-02,Error al procesar consumo,Error al procesar emisiones,288 m²,,4,3,,,Entre 20 y 30 años,,IF76918-GRNA,,,,,,,,Central,,N/A,,1,,,,,,,Privado,,,,,,267 m²,,,,,,,,,,,,,
Chalet en calle de Leizarán,Alfa Rivas,1.913 €/m²,1.100.000 €,575 m²,28181,https://www.pisos.com/comprar/chalet-villaviciosa_de_odon_el_bosque28670-39265261528_100500/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,575 m²,286 m²,5,3,,,Entre 30 y 50 años,,SA4961-CM-10230/8383,1,,,,,,N/A,Gas natural,N/A,,N/A,1,N/A,,N/A,N/A,,N/A,N/A,Propia,Suroeste,,,,1.170 m²,,,,,,N/A,,,,,,,
"Piso en calle de Miguel Ángel Cantero Oliva,  s/n",Residencial INBISA Viñas Viejas,2.629 €/m²,794.000 €,302 m²,28022,https://www.pisos.com/comprar/piso-vinas_viejas-4978915570_109700/,2025-01-16,Error al procesar consumo,Error al procesar emisiones,302 m²,,2,3,Bajo,,,A estrenar,4529094-21545926,,,,,,,,,,,,N/A,N/A,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en Club de Golf-Molino de la Hoz,Inmob Homes,3.732 €/m²,2.150.000 €,576 m²,28127,https://www.pisos.com/comprar/chalet-club_de_golf_molino_de_la_hoz28232-50841694770_109300/,2025-01-17,Error al procesar consumo,Error al procesar emisiones,576 m²,500 m²,,,,,,,EP647-1255,,,,,,,Frío y calor,Gasoil,,,,Más de 2,Bastantes amplios,,N/A,N/A,,N/A,,Propia,Sur,,,,,,,Más de 100 €,N/A,,,,,,,,,
Chalet en Parque Boadilla,Gilmar Boadilla-Villaviciosa,3.639 €/m²,1.190.000 €,327 m²,28022,https://www.pisos.com/comprar/chalet-el_olivar_de_mirabal28669-51740167091_102100/,2025-02-16,Error al procesar consumo,Error al procesar emisiones,327 m²,,5,6,,,,,GM11-201345,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,985 m²,,,,,,,,,,,,,
"Casa adosada en calle de los Hermanos San Román, 1",GILMAR-Madrid,3.846 €/m²,1.300.000 €,338 m²,28115,https://www.pisos.com/comprar/casa_adosada-estacion_zona_norte28224-5178819405_109700/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,338 m²,,5,5,,,,A estrenar,-21728224,Más de 2,,,,,,,,,N/A,,N/A,N/A,,,,,N/A,Privado,,,,Adosada,N/A,,,,,,,,,,,,,,
Chalet en Majadahonda-Norte,Gilmar Majadahonda,2.453 €/m²,1.190.000 €,485 m²,28080,https://www.pisos.com/comprar/chalet-zona_carretera_del_plantio28221-46697109068_102100/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,485 m²,,7,,,,,,GM8-196637,,,,,,,,,,,,Más de 2,,,,,,,N/A,N/A,Sur,,,,1.000 m²,,,,,,,,,,,,,
Chalet en Valdecabañas,Gilmar Boadilla-Villaviciosa,2.166 €/m²,1.300.000 €,600 m²,28022,https://www.pisos.com/comprar/chalet-el_olivar_de_mirabal28669-51759291058_102100/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,600 m²,,5,6,,,,,GM11-200836,,,,,,,,,,,,2,,,,,,,N/A,N/A,,,,,1.735 m²,,,,,,,,,,,,,
"Piso en Avenida de la Selección Española, 6",HOGARES BOADILLA CENTRO,5.357 €/m²,750.000 €,140 m²,28022,https://www.pisos.com/comprar/piso-valdepastores_pino_centinela_las_encinas28669-51710868288_525764/,2025-02-01,"E, E","E, E",140 m²,139 m²,3,2,Bajo,N/A,Menos de 5 años,Reformado,4525764-000053,Más de 2,,,,,,Frío y calor,Gas natural,N/A,N/A,,2,N/A,,,N/A,N/A,,Comunitario,Comunitaria,,,,,,N/A,,,,,,,,N/A,,,,
Chalet en Las Lomas,Gilmar Boadilla-Villaviciosa,2.368 €/m²,1.350.000 €,570 m²,28022,https://www.pisos.com/comprar/chalet-el_olivar_de_mirabal28669-35090165336_102100/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,570 m²,,7,7,,,,,GM11-186830,,,,,,,,,,,,2,,,,,,,N/A,N/A,Suroeste,,,,2.715 m²,,,,,,,,,,,,,
Piso en calle Patriarca,HOGARES SAN LORENZO DE El ESCORIAL,2.498 €/m²,129.900 €,52 m²,28131,https://www.pisos.com/comprar/piso-centro_la_estacion_prado_de_la_laguna-51710843832_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,52 m²,,1,1,3ª,,Más de 50 años,,IF76917-patriarca,,,,,,,,Central,,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en calle de Fernando VI,HOGARES GUADARRAMA,2.123 €/m²,169.900 €,80 m²,28068,https://www.pisos.com/comprar/piso-guadarrama_centro_urbano-44173641836_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,80 m²,,3,1,,,Entre 30 y 50 años,,IF76801-fernandoVI,1,,,,,,,Central,,N/A,,,N/A,,,,,,,Comunitaria,,,,,,,,,,,,,,,,,,
Piso en Carretera de Galapagar,HOGARES GALAPAGAR,2.415 €/m²,144.900 €,60 m²,28044,https://www.pisos.com/comprar/piso-colmenarejo_centro_urbano-45063513901_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,60 m²,,1,2,1ª,,Entre 10 y 20 años,,IF76920-Carreteragalapagar,1,,,,,,,Central,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en calle del Monte Almenara, 8",PROEL CONSULTORIA,2.472 €/m²,885.000 €,358 m²,28022,https://www.pisos.com/comprar/casa-el_olivar_de_mirabal28669-46760469865_994534/,2024-08-26,"A, A","A, A",358 m²,194 m²,5,3,,,,A estrenar,4994534-Las fuentes de Valenoso parcela 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centro,ROCIO ARTOLAZABAL GUISADO,2.387 €/m²,191.000 €,80 m²,28131,https://www.pisos.com/comprar/piso-centro_la_estacion_prado_de_la_laguna-48344413682_103800/,2024-12-22,Error al procesar consumo,Error al procesar emisiones,80 m²,,3,1,4ª,N/A,,En buen estado,INB340-A091,,,Parquet,,,,,Eléctrica,,,,,,,,,,,,,Sur,,,,,,,Entre 60 y 80 €,,,,,,,,,,
Piso en calle del Grupo Escolar,MADECASA,4.910 €/m²,275.000 €,56 m²,28115,https://www.pisos.com/comprar/piso-estacion_zona_norte28224-51763850760_101800/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,56 m²,,2,1,1ª,,Más de 50 años,,IF7146-p1788,,,,,,,,Central,,N/A,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,
Casa pareada en calle del Ebro,Villas de Bravante,2.395 €/m²,630.000 €,263 m²,28152,https://www.pisos.com/comprar/casa_pareada-bellavista_salud_y_alegria-50842110976_109300/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,263 m²,,5,4,,,,En buen estado,EP1062-1580,,,,,,,,Gas natural,N/A,N/A,,Más de 2,N/A,,N/A,N/A,,N/A,,Comunitaria,Sur,,Pareada,,,,,Más de 100 €,N/A,,,,,,,,,
Piso en Európolis-Montecillo-Navalcarbón,INVERHOGAR,3.818 €/m²,630.000 €,165 m²,28127,https://www.pisos.com/comprar/piso-europolis_montecillo_navalcarbon28232-49255388219_101800/,2025-01-31,Error al procesar consumo,Error al procesar emisiones,165 m²,,3,2,,,,,IF7055-17266,1,,,,,,,Central,,N/A,,1,N/A,,N/A,,N/A,,,Comunitaria,,,,N/A,,,,,,,,,,,,,,
Chalet en calle de Prausteros,HOGARES GALAPAGAR,1.806 €/m²,599.900 €,332 m²,28044,https://www.pisos.com/comprar/chalet-colmenarejo_centro_urbano-51689319181_101800/,2025-02-17,"F, G","F, G",332 m²,,5,3,,,Entre 30 y 50 años,,IF76920-prausteros,,,,,,,,Central,,N/A,,1,,,,,,,Privado,Propia,,,,,814 m²,,,,,,,,,,,,,
Piso en Collado Villalba,REDPISO COLLADO VILLALBA,2.562 €/m²,199.900 €,78 m²,28047,https://www.pisos.com/comprar/piso-parque_de_la_coruna_las_suertes-51700461381_104700/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,78 m²,63 m²,3,1,,,Más de 50 años,A reformar,STA28-RP1672025135045,,,Gres,,,,,Gas natural,,,,,N/A,,N/A,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
Piso en calle de Luis García,WALTER HAUS CHAMBERI,12.195 €/m²,1.000.000 €,82 m²,28115,https://www.pisos.com/comprar/piso-pueblo28223-39190991125_101800/,2024-10-10,"A, A","A, A",82 m²,,1,1,,,Menos de 5 años,,IF76602-M20530V,1,,,,,,,Central,,,,1,N/A,,,,N/A,N/A,Privado,Comunitaria,Sur,,,,,,,,,,,,,,,,,
Chalet en Cercedilla,INMOBILIARIA LOS BERROCALES,1.454 €/m²,480.000 €,330 m²,28038,https://www.pisos.com/comprar/chalet-cercedilla_centro_urbano-33342165164_993204/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,330 m²,320 m²,5,3,,,,En buen estado,4993204-13392754,Más de 2,,,,,,,Eléctrica,,N/A,N/A,Más de 2,,,,,,N/A,Privado,,,,,,570 m²,,,,,,,N/A,N/A,,,,,
Chalet en Olivar del Mirabal,Gilmar Boadilla-Villaviciosa,7.287 €/m²,1.975.000 €,271 m²,28022,https://www.pisos.com/comprar/chalet-boadilla_del_monte_monteprincipe28660-51756815766_102100/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,271 m²,,4,4,,,,,GM11-194543,,,,,,,,,,,,2,,,,,,,N/A,N/A,,,,,1.054 m²,,,,,,,,,,,,,
Piso en Valdepastores,Gilmar Boadilla-Villaviciosa,7.391 €/m²,1.020.000 €,138 m²,28022,https://www.pisos.com/comprar/piso-boadilla_del_monte_monteprincipe28660-51735473515_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,138 m²,,3,2,,Exterior,,,GM11-205288,,,,,,,,,,,,Más de 2,N/A,,,,,93.63,N/A,N/A,,,,,,,,,,,,,,,,,,
Piso en calle Gómez Tejedor,HOGARES MAJADAHONDA CENTRO,5.270 €/m²,585.000 €,111 m²,28115,https://www.pisos.com/comprar/piso-estacion_zona_norte28224-50868169172_528837/,2025-01-31,"C, C","C, C",111 m²,111 m²,2,2,2ª,N/A,Entre 20 y 30 años,En buen estado,4528837-PZS04-25,Más de 2,,,,,,Frío,Gas natural,,N/A,,2,N/A,,,,N/A,N/A,Comunitario,Comunitaria,,N/A,,,,N/A,N/A,Más de 100 €,,,,,,,N/A,,,
Casa adosada en calle del Enfriadero,HOGARES GALAPAGAR,1.950 €/m²,399.900 €,205 m²,28061,https://www.pisos.com/comprar/casa_adosada-galapagar_la_navata28420-47515473554_101800/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,205 m²,,3,3,,,Entre 20 y 30 años,,IF76920-ENFRIADERO,1,,,,,,,Central,,N/A,,,,,,,,,Privado,Comunitaria,,,Adosada,,,,,,,,,,,,,,,
Chalet en calle de Zurich,HOGARES SAN LORENZO DE El ESCORIAL,1.234 €/m²,142.000 €,115 m²,28125,https://www.pisos.com/comprar/chalet-estacion_de_robledo-47591086854_101800/,2024-10-14,"G, G","G, G",115 m²,,2,1,,,Entre 30 y 50 años,,IF76917-zurich,,,,,,,,,,,,,,,,,,,,,,,,,1.600 m²,,,,,,,,,,,,,
Dúplex en calle de la Calzada,HOGARES GUADARRAMA,1.834 €/m²,255.000 €,139 m²,28068,https://www.pisos.com/comprar/duplex-guadarrama_centro_urbano-44192451153_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,139 m²,,4,3,1ª,,Entre 20 y 30 años,,IF76801-calzada 31,,,,,,,,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Prado de Somosaguas,remax collection activo residencial,4.000 €/m²,800.000 €,200 m²,28115,https://www.pisos.com/comprar/piso-prado_de_somosaguas-51676066650_100500/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,200 m²,,4,3,2ª,,Entre 30 y 50 años,,SA2325-AR03004/7288,,,,,,,,,,,,1,,,,,N/A,N/A,N/A,Comunitaria,,,,,,,,,,,,,,,,,,
Chalet en Villanueva de La Cañada,Gilmar Boadilla-Villaviciosa,1.765 €/m²,890.000 €,504 m²,28176,https://www.pisos.com/comprar/chalet-villanueva_de_la_canada_villafranca_del_castillo28-51696481744_102100/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,504 m²,,7,5,,,,,GM11-203018,,,,,,,,,,,,2,,,,,,,N/A,N/A,,,,,734 m²,,,,,,,,,,,,,
Casa en La Navata,INVERHOGAR,2.851 €/m²,499.000 €,175 m²,28061,https://www.pisos.com/comprar/casa-galapagar_la_navata28260-50095966209_101800/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,175 m²,,3,2,,,,,IF7055-17509,1,,,,,,,Central,,N/A,,,,,N/A,N/A,,N/A,Privado,Propia,,,,,1.200 m²,,,,,,,,,,,,,
Casa en Puerto de Galapagar-Las Cuestas,EXCLUSIVAS SANTO MAURO,2.207 €/m²,980.000 €,444 m²,28061,https://www.pisos.com/comprar/casa-puerto_de_galapagar_las_cuestas-12539144127_510261/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,444 m²,444 m²,7,4,,,Entre 20 y 30 años,En buen estado,4510261-324- TOMILLAR,Más de 2,,Parquet,,PVC,N/A,,Gas natural,,N/A,N/A,2,,,N/A,,,N/A,Privado,,Suroeste,,,,4.056 m²,,,,,N/A,N/A,N/A,N/A,,,,,
Chalet en calle de Guadarrama,HOGARES GUADARRAMA,2.142 €/m²,419.900 €,196 m²,28068,https://www.pisos.com/comprar/chalet-guadarrama_los_berrocales-44236727441_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,196 m²,,3,2,,,,,IF76801-cabezuelaas,,,,,,,,,,N/A,,,,,,,,,Privado,Propia,,,,,746 m²,,,,,,,,,,,,,
"Piso en calle del Oro,  s/n",iKasa Class,5.212 €/m²,589.000 €,113 m²,28115,https://www.pisos.com/comprar/piso-somosaguas_humera_los_angeles28223-4770455491_109700/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,113 m²,,3,2,Bajo,,,A estrenar,4510732-21382618,,,,,,,,,,,,N/A,N/A,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en Urbanizacion Camorritos,CAVALIER REAL ESTATE,1.411 €/m²,480.000 €,340 m²,28038,https://www.pisos.com/comprar/chalet-cercedilla_centro_urbano-93407401237_100500/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,340 m²,330 m²,5,4,,,Entre 10 y 20 años,,SA603-405/1925,1,,,,,,,Gasoil,N/A,,N/A,1,N/A,,,,,N/A,N/A,,Sureste,,,,569 m²,,,,N/A,N/A,,,,,,,,
Chalet en calle del Ciruelo,HOGARES GALAPAGAR,2.209 €/m²,514.900 €,233 m²,28061,https://www.pisos.com/comprar/chalet-el_encinar_vista_nevada_la_quinta_del_praderon2826-48360778825_101800/,2025-02-13,"D, E","D, E",233 m²,,4,3,,,Entre 30 y 50 años,,IF76920-Ciruelo,1,,,,,,,Central,,N/A,,1,N/A,,,,,N/A,Privado,Propia,,,,,460 m²,,,,,,,,,,,,,
Chalet en Pozuelo de Alarcón,Gilmar Pozuelo-Aravaca,4.927 €/m²,1.700.000 €,345 m²,28115,https://www.pisos.com/comprar/chalet-somosaguas_humera_los_angeles28224-51721860615_102100/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,345 m²,,4,4,,,,,GM31-205412,,,,,,,,,,,,2,,,,,,,N/A,N/A,,,,,553 m²,,,,,,,,,,,,,
Casa pareada en La Marazuela,Inmob Homes,1.588 €/m²,1.125.000 €,708 m²,28127,https://www.pisos.com/comprar/casa_pareada-marazuela_el_torreon28231-44214928445_109300/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,708 m²,613 m²,7,5,,,,,EP647-1212,,,,,,,Frío y calor,Central,,N/A,,Más de 2,N/A,,N/A,N/A,,N/A,,Comunitaria,Sur,,Pareada,,,,,,N/A,,,,,,,,,
