nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Chimenea,Cocina equipada,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Terraza,Jardín,Piscina,Orientación,Soleado,Tipo de casa,Lavadero,Superficie solar,Amueblado,Balcón,Gastos de comunidad,Agua,Teléfono,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Adaptado a personas con movilidad reducida,No se aceptan mascotas,Interior,Luz
Piso en calle del Maestro,MISCASA VILLALBA,3.185 €/m²,258.000 €,81 m²,28010,https://www.pisos.com/comprar/piso-alpedrete_centro_urbano-51751025578_992271/,2025-02-10,"E, E","E, E",81 m²,80 m²,3,2,2ª,N/A,Entre 10 y 20 años,En buen estado,4992271-1088,Más de 2,N/A,Tarima flotante,N/A,Aluminio,N/A,,Gas natural,,N/A,N/A,1,,,N/A,,,N/A,,,Este,N/A,,N/A,,,,Entre 40 y 60 €,,,,,,,,N/A,,
Chalet en Campodón,Gilmar Boadilla-Villaviciosa,1.584 €/m²,1.290.000 €,814 m²,28181,https://www.pisos.com/comprar/chalet-pinares_llanos28670-41709874226_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,814 m²,,5,7,,,,,GM11-194911,,,,,,,,,,,,N/A,,,,,,,N/A,N/A,Norte,,,,1.852 m²,,,,,,,,,,,,,
Chalet en El Castillo,FLIMASA,3.737 €/m²,1.450.000 €,388 m²,28181,https://www.pisos.com/comprar/chalet-castillo_campodon-47566289495_100500/,2024-12-27,Error al procesar consumo,Error al procesar emisiones,388 m²,,4,5,,,Entre 20 y 30 años,En buen estado,SA4858-C501192,1,,Gres,N/A,,,Frío,Gas natural,N/A,Cocina amueblada,,,N/A,,,,,,Privado,Propia,,,,,1.006 m²,,,,,,,,,,,,,
Chalet en calle de las Bellas Vistas,CHAMBERI SERVICIOS INMOBILIARIOS,3.090 €/m²,1.298.000 €,420 m²,28181,https://www.pisos.com/comprar/chalet-castillo_campodon-45893792626_100500/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,420 m²,,6,8,,,Más de 50 años,,SA5069-ch142/10979,1,,,,,,N/A,N/A,,,N/A,1,,,N/A,N/A,,N/A,N/A,Comunitaria,,,,,1.152 m²,,,,N/A,,,,,,,,,
Chalet en Estación,CAVALIER REAL ESTATE,2.612 €/m²,580.000 €,222 m²,28087,https://www.pisos.com/comprar/chalet-los_molinos_centro_urbano-45888368351_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,222 m²,218 m²,7,3,,,Más de 50 años,,SA603-1022/1925,1,,,,,,,N/A,N/A,,N/A,1,N/A,,,N/A,,N/A,N/A,Propia,Este,,,,628 m²,,,,N/A,N/A,,,,,,,,
"Piso en calle de Miguel Ángel Cantero Oliva,  s/n",Residencial INBISA Viñas Viejas,5.100 €/m²,739.500 €,145 m²,28022,https://www.pisos.com/comprar/piso-vinas_viejas-4978534629_109700/,2025-01-16,Error al procesar consumo,Error al procesar emisiones,145 m²,,3,2,,,,A estrenar,4529094-21545936,,,,,,,,,,,,N/A,N/A,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Estudio en calle del Cordel de Valladolid,MISCASA VILLALBA,3.975 €/m²,159.000 €,40 m²,28047,https://www.pisos.com/comprar/estudio-collado_villalba_los_negrales-50848172612_992271/,2025-02-10,"E, E","E, E",40 m²,39 m²,,1,1ª,N/A,Entre 10 y 20 años,En buen estado,4992271-1203,1,N/A,Tarima flotante,N/A,Aluminio,N/A,,Gas natural,,N/A,,1,N/A,N/A,N/A,,N/A,,Comunitario,Comunitaria,Este,,,,,,,Entre 60 y 80 €,,,,,,,,N/A,,
Chalet en calle Camino de Valladolid,EXXACON,4.338 €/m²,1.575.000 €,363 m²,28152,https://www.pisos.com/comprar/chalet-torrelodones_casco_antiguo-5013858298_109700/,2024-12-18,Error al procesar consumo,Error al procesar emisiones,363 m²,,6,6,,,,A estrenar,4527992-21597888,,,,,,,,,,,,N/A,,,,,,N/A,Privado,N/A,,,,,,,,,,,,,,,,,,
Chalet en calle Camino de Valladolid,EXXACON,2.808 €/m²,750.000 €,267 m²,28152,https://www.pisos.com/comprar/chalet-torrelodones_casco_antiguo-4936272203_109700/,2024-12-18,Error al procesar consumo,Error al procesar emisiones,267 m²,,3,3,,,,A estrenar,4527992-21597885,,,,,,,,,,,,N/A,,,,,,N/A,Privado,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en Cercedilla,INMOBILIARIA LOS BERROCALES,2.305 €/m²,415.000 €,180 m²,28038,https://www.pisos.com/comprar/chalet_unifamiliar-cercedilla_centro_urbano-50891754720_993204/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,180 m²,175 m²,5,4,,,,En buen estado,4993204-13392810,Más de 2,,,,,,,Gasoil,N/A,N/A,N/A,,,,,,,N/A,Privado,Propia,,,,,615 m²,N/A,,,,,,N/A,,,,,,
