nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Calefacción,Garaje,Orientación,Superficie solar,Tipo de casa,Agua,Comedor,Terraza,Conservación,Aire acondicionado,Cocina equipada,Jardín,Trastero,Piscina,Vidrios dobles,Chimenea,Sistema de seguridad,Puerta blindada,Balcón,Urbanizado,Lavadero,Teléfono,Exterior,Interior,Calle alumbrada,Calle asfaltada,Ascensor,Adaptado a personas con movilidad reducida,Se aceptan mascotas,Soleado,Carpintería exterior,Carpintería interior,Portero automático,Gas
Piso en Nuevo Tres Cantos,Estudio Tres Cantos Slu,2.458 €/m²,440.000 €,179 m²,28903,https://www.pisos.com/comprar/piso-nuevo_tres_cantos-50927029124_100200/,2025-01-28,"E, E","E, E",179 m²,,3,2,,Entre 10 y 20 años,,TC875-605594,,,,N/A,,,,,,,,En buen estado,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en calle Zona Centro,BREM GLOBAL INMOBILIARIA,2.190 €/m²,219.000 €,100 m²,28030,https://www.pisos.com/comprar/chalet-la_cabrera_centro_urbano-45863757959_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,100 m²,,2,1,,Entre 30 y 50 años,,SA5479-98288557/11756,,,,,,,318 m²,,,,N/A,,,,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,,
Chalet en Encinar de los Reyes,Huspy,6.548 €/m²,3.150.000 €,481 m²,28904,https://www.pisos.com/comprar/chalet-la_moraleja_encinar_de_los_reyes28055-51721781918_108500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,481 m²,,5,7,,,,AG662-43d5ed33-49b1-45cc-9b3e-39cbb11d6cad,,N/A,,Gas natural,,Sur,,,,,,,N/A,,N/A,,Privada,,,,,,,,,,,,,,,,,,,,
Chalet en calle del Hornillo,BREM GLOBAL INMOBILIARIA,1.250 €/m²,295.000 €,236 m²,28030,https://www.pisos.com/comprar/chalet-la_cabrera_centro_urbano-49195220945_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,236 m²,,3,1,,Más de 50 años,,SA5479-19112024/11756,,,,N/A,1,,466 m²,,,,N/A,,,,N/A,,Propia,,N/A,,,,,,,,,,,,,,,,,,
"Piso en calle Iker Casillas,  s/n",LIBRA GESTION DE PROYECTOS,5.323 €/m²,756.000 €,142 m²,28006,https://www.pisos.com/comprar/piso-alcobendas_valdelacasa-4848546037_109700/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,142 m²,,3,3,3ª,,,4992226-21434228,,2,,Gas natural,N/A,,,,,,N/A,A estrenar,Frío y calor,N/A,,N/A,,,,,,,,,,,,,,N/A,,,,,,,
Dúplex en Centro,MMB,2.407 €/m²,248.000 €,103 m²,28041,https://www.pisos.com/comprar/duplex-cobena_centro_urbano-50889930043_103800/,2025-01-25,Error al procesar consumo,Error al procesar emisiones,103 m²,66 m²,2,1,1ª,Entre 20 y 30 años,,INB772-79-01,,,Parquet,N/A,1,,,,,,,,Frío y calor,N/A,,,,,,,,N/A,,,,N/A,,,,,,,,,,,
Piso en Avenida de Madrid,Neinor Homes,4.366 €/m²,441.000 €,101 m²,28129,https://www.pisos.com/comprar/piso-san_agustin_del_guadalix_centro_urbano-28340978850_109700/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,101 m²,,3,2,,,,-9233,,N/A,,,,,,,,,2,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Avenida de Madrid,SOKERIM,1.468 €/m²,210.000 €,143 m²,28107,https://www.pisos.com/comprar/casa-patones_centro_urbano-50904018757_520499/,2025-02-04,"E, E","E, E",143 m²,118 m²,3,3,,Entre 20 y 30 años,,4520499-000212,,,Gres,,1,,,,,,,En buen estado,,,Privado,,,,,,,,,,,,,,,,,,,Aluminio,,,
Piso en Zona Parque Sur,Estudio Tres Cantos Slu,2.473 €/m²,695.000 €,281 m²,28903,https://www.pisos.com/comprar/piso-zona_parque_sur-49180388826_100200/,2024-11-30,Error al procesar consumo,Error al procesar emisiones,281 m²,,,3,,Entre 30 y 50 años,,TC875-595309,,,,,,,,,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en La Moraleja,Gilmar La Moraleja,8.823 €/m²,15.000.000 €,1.700 m²,28904,https://www.pisos.com/comprar/chalet-la_moraleja_encinar_de_los_reyes28109-42511733162_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,1.700 m²,,8,10,,,,GM6-195047,,,,,N/A,Oeste,10.000 m²,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en Jardin del Soto,Alegría Madrid,581 €/m²,795.000 €,1.366 m²,28144,https://www.pisos.com/comprar/chalet-soto_del_real_centro_urbano-50842512913_100500/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,1.366 m²,645 m²,6,5,,Más de 50 años,,SA5787-MPA050/11412,N/A,1,,N/A,1,,3.897 m²,,N/A,,N/A,,,,N/A,,Propia,,N/A,N/A,,,,,N/A,,,,,,,,,,,,
Piso en Ensanche,Estudio Paseo Chopera Sl,4.367 €/m²,760.000 €,174 m²,28006,https://www.pisos.com/comprar/piso-alcobendas_ensanche28100-48334794037_100200/,2025-01-23,"E, D","E, D",174 m²,,4,3,1ª,Entre 20 y 30 años,,TC1161-598493,,,,Central,1,,,,,,N/A,En buen estado,,N/A,Comunitario,,,,,,,N/A,,,,,,,,N/A,,,,,,,
Piso en Avenida Coruña,INMOLINE,2.844 €/m²,367.000 €,129 m²,28134,https://www.pisos.com/comprar/piso-arroyos_y_tempranales28702-41742370937_106000/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,129 m²,,3,2,2ª,,,NI485-1124,,N/A,Parquet,Gas natural,1,,,,Gas natural,,,,N/A,Amueblada sin electrodomésticos,,,,,,,,,,,,,,,,N/A,,,,,,,
Piso en Centro,AGENCIA CONTACASA ASESORES,2.388 €/m²,215.000 €,90 m²,28045,https://www.pisos.com/comprar/piso-colmenar_viejo_centro-49224691363_103800/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,90 m²,74 m²,3,1,2ª,,,INB35-1376-cv2894,,N/A,Tarima maciza,Gas natural,,,,,,,N/A,Reformado,Frío y calor,N/A,,,,,,,,,,,,N/A,,,,,,N/A,,,,,
